id,Gymnasium,domestic,n_study,technical
22840966,,,,
22840967,,,,
22840968,,,,
22840969,,,,
22840970,,,,
22840971,,,,
22840972,,,,
22840973,,,,
22840974,,,,
22840975,,,,
22840976,,,,
22840977,,,,
22840978,,,,
22840979,,,,
22840980,,,,
22840981,,,,
22840982,,,,
22840983,,,,
22840986,,,,
22840987,,,,
22841066,,,,
22841067,,,,
22841068,,,,
22841069,,,,
22841070,,,,
22841071,,,,
22841072,,,,
22841073,,,,
22841074,,,,
22841075,,,,
22841076,,,,
22841079,,,,
22841080,,,,
22841081,,,,
22841115,,,,
22841116,,,,
22841117,,,,
22841118,,,,
22841119,,,,
22841120,,,,
22841121,,,,
22841122,,,,
22841123,,,,
22841124,,,,
22841125,,,,
22841126,,,,
22841127,,,,
22841128,,,,
22841129,,,,
22841130,,,,
22841131,,,,
22841132,,,,
22841133,,,,
22841134,,,,
22841135,,,,
22841136,,,,
22841137,,,,
22841138,,,,
22841139,,,,
22841140,,,,
22841141,,,,
22841142,,,,
22841143,,,,
22841144,,,,
22841145,,,,
22841146,,,,
22841147,,,,
22841148,,,,
22841149,,,,
22841150,,,,
22841151,,,,
22841152,,,,
22841153,,,,
22841154,,,,
22841155,,,,
22841156,,,,
22841157,,,,
22841158,,,,
22841159,,,,
22841160,,,,
22841161,,,,
22841162,,,,
22841163,,,,
22841164,,,,
22841165,,,,
22841166,,,,
22841167,,,,
22841168,,,,
22841169,,,,
22841170,,,,
22841171,,,,
22841172,,,,
22841173,,,,
22841174,,,,
22841175,,,,
22841176,,,,
22841177,,,,
22841178,,,,
22841179,,,,
22841180,,,,
22841181,,,,
22841182,,,,
22841183,,,,
22841184,,,,
22841185,,,,
22841186,,,,
22841187,,,,
22841188,,,,
22841189,,,,
22841190,,,,
22841191,,,,
22841192,,,,
22841193,,,,
22841194,,,,
22841195,,,,
22841196,,,,
22841197,,,,
22841198,,,,
22841199,,,,
22841242,,,,
22841243,,,,
22841244,,,,
22841245,,,,
22841247,,,,
22841248,,,,
22841249,,,,
22841250,,,,
22841251,,,,
22841252,,,,
22841253,,,,
22841254,,,,
22841255,,,,
22841256,,,,
22841257,,,,
22841258,,,,
22841259,,,,
22841260,,,,
22841261,,,,
22841262,,,,
22841263,,,,
22841264,,,,
22841265,,,,
22841266,,,,
22841267,,,,
22841271,,,,
22841272,,,,
22841273,,,,
22841300,,,,
22841301,,,,
22841302,,,,
22841303,,,,
22841304,,,,
22841305,,,,
22841306,,,,
22841307,,,,
22841308,,,,
22841309,,,,
22841310,,,,
22841311,,,,
22841312,,,,
22841313,,,,
22841314,,,,
22841315,,,,
22841316,,,,
22841317,,,,
22841318,,,,
22841319,,,,
22841320,,,,
22841321,,,,
22841322,,,,
22841323,,,,
22841324,,,,
22841325,,,,
22841326,,,,
22841327,,,,
22841328,,,,
22841329,,,,
22841330,,,,
22841331,,,,
22841332,,,,
22841427,,,,
22841428,,,,
22841429,,,,
22841430,,,,
22841431,,,,
22841432,,,,
22841433,,,,
22841434,,,,
22841435,,,,
22841436,,,,
22841437,,,,
22841438,,,,
22841439,,,,
22841440,,,,
22841441,,,,
22841442,,,,
22841443,,,,
22841444,,,,
22841445,,,,
22841446,,,,
22841449,,,,
22841484,,,,
22841485,,,,
22841486,,,,
22841487,,,,
22841488,,,,
22841489,,,,
22841490,,,,
22841491,,,,
22841492,,,,
22841493,,,,
22841494,,,,
22841495,,,,
22841496,,,,
22841498,,,,
22841499,,,,
22841500,,,,
22841501,,,,
22841502,,,,
22841503,,,,
22841504,,,,
22841505,,,,
22841506,,,,
22841507,,,,
22841508,,,,
22841509,,,,
22841510,,,,
22841511,,,,
22841512,,,,
22841513,,,,
22841514,,,,
22841515,,,,
22841516,,,,
22841517,,,,
22841518,,,,
22841519,,,,
22841520,,,,
22841521,,,,
22841522,,,,
22841523,,,,
22841524,,,,
22841525,,,,
22841526,,,,
22841527,,,,
22841528,,,,
22841529,,,,
22841530,,,,
22841531,,,,
22841532,,,,
22841533,,,,
22841534,,,,
22841535,,,,
22841536,,,,
22841537,,,,
22841538,,,,
22841539,,,,
22841540,,,,
22841541,,,,
22841542,,,,
22841543,,,,
22841544,,,,
22841545,,,,
22841546,,,,
22841547,,,,
22841548,,,,
22841549,,,,
22841550,,,,
22841551,,,,
22841552,,,,
22841553,,,,
22841554,,,,
22841555,,,,
22841556,,,,
22841557,,,,
22841558,,,,
22841559,,,,
22841560,,,,
22841561,,,,
22841562,,,,
22841563,,,,
22841564,,,,
22841565,,,,
22841566,,,,
22841567,,,,
22841568,,,,
22841569,,,,
22841570,,,,
22841571,,,,
22841572,,,,
22841573,,,,
22841574,,,,
22841575,,,,
22841576,,,,
22841577,,,,
22841578,,,,
22841579,,,,
22841580,,,,
22841581,,,,
22841582,,,,
22841583,,,,
22841584,,,,
22841585,,,,
22841586,,,,
22841587,,,,
22841588,,,,
22841589,,,,
22841590,,,,
22841591,,,,
22841592,,,,
22841593,,,,
22841594,,,,
22841595,,,,
22841596,,,,
22841597,,,,
22841598,,,,
22841599,,,,
22841600,,,,
22841601,,,,
22841602,,,,
22841603,,,,
22841604,,,,
22841605,,,,
22841606,,,,
22841607,,,,
22841608,,,,
22841609,,,,
22841610,,,,
22841611,,,,
22841612,,,,
22841613,,,,
22841614,,,,
22841615,,,,
22841616,,,,
22841617,,,,
22841618,,,,
22841619,,,,
22841620,,,,
22841621,,,,
22841622,,,,
22841623,,,,
22841624,,,,
22841625,,,,
22841626,,,,
22841627,,,,
22841628,,,,
22841629,,,,
22841630,,,,
22841631,,,,
22841632,,,,
22841633,,,,
22841634,,,,
22841635,,,,
22841636,,,,
22841637,,,,
22841638,,,,
22841639,,,,
22841640,,,,
22841641,,,,
22841642,,,,
22841643,,,,
22841644,,,,
22841645,,,,
